,Restaurant,UserID,Menu,Total
65,치킨&강정-노량진점,bi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
66,치킨&강정-노량진점,10**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
67,치킨&강정-노량진점,pr**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
68,치킨&강정-노량진점,al**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),콜라 1.25L/1",5
69,치킨&강정-노량진점,ia**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
70,치킨&강정-노량진점,ac**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
71,치킨&강정-노량진점,jo**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
72,치킨&강정-노량진점,kc**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
73,치킨&강정-노량진점,ol**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
74,치킨&강정-노량진점,pr**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
75,치킨&강정-노량진점,lu**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(콜라 1.25L로 변경)),치킨무/1",5
76,치킨&강정-노량진점,ya**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
77,치킨&강정-노량진점,ku**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),떡/1",5
78,치킨&강정-노량진점,kn**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
79,치킨&강정-노량진점,sk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
80,치킨&강정-노량진점,dr**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
81,치킨&강정-노량진점,ma**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
82,치킨&강정-노량진점,wn**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
83,치킨&강정-노량진점,oe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
84,치킨&강정-노량진점,mi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
85,치킨&강정-노량진점,gk**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(변경 안함))",5
86,치킨&강정-노량진점,ym**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
87,치킨&강정-노량진점,57**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
88,치킨&강정-노량진점,ni**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
89,치킨&강정-노량진점,ss**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1",5
90,치킨&강정-노량진점,du**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),매운맛 소스/1",5
91,치킨&강정-노량진점,jh**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),콜라 1.25L/1",4
92,치킨&강정-노량진점,xw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
93,치킨&강정-노량진점,jo**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
94,치킨&강정-노량진점,ll**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),치킨무/1",5
95,치킨&강정-노량진점,oj**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
96,치킨&강정-노량진점,ck**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(변경 안함))",5
97,치킨&강정-노량진점,fi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
98,치킨&강정-노량진점,ki**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1,매운맛 소스/1",5
99,치킨&강정-노량진점,kn**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
100,치킨&강정-노량진점,ga**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
101,치킨&강정-노량진점,co**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
102,치킨&강정-노량진점,fe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
103,치킨&강정-노량진점,mi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
104,치킨&강정-노량진점,as**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
105,치킨&강정-노량진점,ak**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),콜라 1.25L/1",5
106,치킨&강정-노량진점,sh**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
107,치킨&강정-노량진점,fe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
108,치킨&강정-노량진점,ga**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
